label_main,label_sub,math_score_bin,physics_score_bin,biology_score_bin,chemistry_score_bin,business_score_bin,economics_score_bin,arts_score_bin,psychology_score_bin,computing_score_bin,study_hours_per_day_bin,self_study_hours_per_week_bin,extra_classes,extracurriculars,q4_choice,q5_choice,q6_choice,q7_choice,q8_choice,q9_choice,q10_choice,q11_choice,skill_problem_solving,skill_teamwork,skill_communication,skill_growth_mindset,skill_multitasking,skill_time_management,skill_digital_literacy,skill_leadership,skill_critical_thinking,skill_adaptability,skill_creativity,skill_decision_making,career_intent_text
Business & Finance,Investment/Trading,75–100,55–75,55–75,55–75,75–100,75–100,75–100,75–100,55–75,3–6,10–15,No,Yes,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Encourage them and help them find their own solutions,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,1,1,1,1,0,0,0,1,0,0,Banker
Business & Finance,Investment/Trading,75–100,55–75,75–100,55–75,55–75,75–100,75–100,55–75,55–75,0–3,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,0,0,0,1,0,0,1,1,0,1,Accountant
Law & Public Policy,Public Policy,55–75,55–75,75–100,55–75,75–100,75–100,75–100,55–75,35–55,3–6,10–15,No,No,Collaborate with others and gather diverse perspectives,I balance both function and form in my designs,Facilitate communication between team members,Encourage them and help them find their own solutions,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,1,1,0,1,0,0,0,1,0,0,Lawyer
Science & Research,Biology,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,35–55,3–6,10–15,Yes,Yes,Research thoroughly and analyze all possible solutions carefully,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Encourage them and help them find their own solutions,I use technology as a tool to achieve my goals,Experiment with new things and understand how they work,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,1,1,1,1,0,1,1,1,0,1,Scientist
Entrepreneurship & Management,Founder,75–100,75–100,75–100,55–75,35–55,55–75,75–100,75–100,35–55,0–3,3–6,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,0,0,0,0,0,0,0,0,0,Business Owner
Law & Public Policy,Compliance,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,3–6,10–15,Yes,No,Collaborate with others and gather diverse perspectives,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,1,0,1,0,0,0,1,0,0,Lawyer
Business & Finance,Accounting,75–100,55–75,75–100,55–75,75–100,75–100,75–100,75–100,35–55,3–6,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,1,0,0,0,0,0,1,0,0,Banker
Software Engineering,Frontend,75–100,55–75,55–75,75–100,75–100,75–100,75–100,75–100,75–100,0–3,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Facilitate communication between team members,Encourage them and help them find their own solutions,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,1,0,0,1,1,0,0,1,0,0,Software Engineer
Business & Finance,Accounting,75–100,75–100,75–100,55–75,55–75,55–75,55–75,55–75,35–55,0–3,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Facilitate communication between team members,Encourage them and help them find their own solutions,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,1,0,0,1,0,0,0,0,0,0,Accountant
Business & Finance,Investment/Trading,75–100,75–100,75–100,55–75,75–100,75–100,55–75,75–100,55–75,0–3,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,0,0,0,1,0,0,1,1,0,1,Accountant
Software Engineering,Backend,75–100,75–100,55–75,75–100,75–100,75–100,75–100,55–75,75–100,0–3,0–3,No,No,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,0,0,0,1,0,0,0,0,0,Game Developer
Marketing & Communications,Digital Marketing,75–100,75–100,75–100,75–100,55–75,75–100,75–100,75–100,55–75,3–6,10–15,No,No,Think creatively and explore multiple innovative approaches,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,"Engage in creative projects like art, music, or design",Create a detailed checklist and manage the budget and schedule,Promote and market the project to reach more people,1,0,0,1,0,1,0,0,1,1,1,1,Unknown
Software Engineering,Frontend,75–100,55–75,55–75,55–75,75–100,75–100,75–100,55–75,75–100,3–6,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,1,0,0,1,0,0,1,0,0,Software Engineer
Science & Research,Physics,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,3–6,10–15,No,No,Research thoroughly and analyze all possible solutions carefully,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Experiment with new things and understand how they work,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,0,1,0,1,0,0,1,1,0,1,Scientist
Business & Finance,Investment/Trading,75–100,55–75,55–75,75–100,75–100,75–100,55–75,75–100,55–75,0–3,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,0,0,1,0,0,0,0,0,0,Accountant
Law & Public Policy,Public Policy,75–100,75–100,55–75,75–100,75–100,75–100,75–100,55–75,35–55,3–6,10–15,No,Yes,Collaborate with others and gather diverse perspectives,I balance both function and form in my designs,Facilitate communication between team members,Encourage them and help them find their own solutions,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,1,1,1,0,0,0,0,1,0,0,Lawyer
Entrepreneurship & Management,Strategy/Consulting,75–100,55–75,75–100,75–100,55–75,55–75,55–75,75–100,55–75,0–3,3–6,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,0,0,0,0,0,0,0,0,0,Business Owner
Software Engineering,Backend,75–100,75–100,75–100,55–75,55–75,55–75,75–100,75–100,75–100,3–6,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Coordinate the team and assign roles to ensure smooth workflow,Encourage them and help them find their own solutions,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,1,1,0,0,1,0,0,1,0,0,Software Engineer
Science & Research,Physics,75–100,75–100,75–100,75–100,55–75,55–75,75–100,75–100,55–75,3–6,10–15,No,No,Research thoroughly and analyze all possible solutions carefully,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Experiment with new things and understand how they work,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,0,1,0,1,0,1,1,1,0,1,Scientist
Education & Training,K-12 Teacher,55–75,55–75,55–75,75–100,75–100,75–100,75–100,75–100,35–55,0–3,10–15,No,No,Collaborate with others and gather diverse perspectives,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Explain concepts patiently and provide resources for practice,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,0,0,1,0,0,0,0,0,0,Teacher
Business & Finance,Accounting,75–100,75–100,55–75,75–100,75–100,75–100,75–100,75–100,55–75,0–3,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,0,0,0,1,0,0,1,0,0,1,Banker
Business & Finance,Accounting,75–100,75–100,75–100,55–75,55–75,55–75,75–100,75–100,55–75,3–6,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,1,0,1,0,0,0,1,0,0,Banker
Business & Finance,Investment/Trading,75–100,75–100,55–75,75–100,55–75,75–100,75–100,75–100,55–75,3–6,10–15,No,Yes,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,1,1,1,0,0,0,1,0,0,Banker
Business & Finance,Accounting,75–100,55–75,55–75,75–100,75–100,75–100,75–100,75–100,35–55,3–6,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,1,0,1,0,0,0,1,0,0,Accountant
Core Engineering,Mechanical,75–100,75–100,75–100,55–75,75–100,75–100,75–100,75–100,55–75,0–3,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,0,0,0,1,0,1,1,0,0,1,Construction Engineer
Education & Training,K-12 Teacher,75–100,75–100,75–100,55–75,55–75,75–100,75–100,75–100,55–75,0–3,10–15,No,No,Collaborate with others and gather diverse perspectives,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Explain concepts patiently and provide resources for practice,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,1,0,0,1,0,0,0,0,0,0,Teacher
Medicine & Health,Medicine,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,3–6,10–15,No,No,Research thoroughly and analyze all possible solutions carefully,I balance both function and form in my designs,Facilitate communication between team members,Explain concepts patiently and provide resources for practice,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,1,1,0,1,0,0,0,1,0,0,Doctor
Core Engineering,Mechanical,55–75,75–100,75–100,75–100,75–100,75–100,75–100,55–75,35–55,0–3,3–6,No,No,Break it down into smaller steps and solve systematically using logic,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Encourage them and help them find their own solutions,I want to understand how things work at a deep technical level,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,1,0,0,1,0,0,0,0,0,0,Real Estate Developer
Core Engineering,Civil,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,3–6,10–15,No,Yes,Break it down into smaller steps and solve systematically using logic,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Spend time with friends and socialize,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,0,1,1,1,0,0,1,1,0,1,Unknown
Entrepreneurship & Management,Operations Mgmt,75–100,75–100,75–100,75–100,55–75,55–75,75–100,75–100,55–75,0–3,0–3,Yes,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Facilitate communication between team members,Encourage them and help them find their own solutions,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,1,0,0,0,0,0,1,0,0,1,Business Owner
Software Engineering,Backend,75–100,75–100,55–75,55–75,55–75,75–100,75–100,75–100,75–100,3–6,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,0,1,0,1,1,1,1,1,0,1,Software Engineer
Education & Training,Counseling,75–100,55–75,75–100,75–100,75–100,75–100,75–100,75–100,55–75,0–3,3–6,No,No,Collaborate with others and gather diverse perspectives,I balance both function and form in my designs,Facilitate communication between team members,Explain concepts patiently and provide resources for practice,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,1,0,0,0,0,0,1,0,0,1,Unknown
Business & Finance,Investment/Trading,75–100,55–75,55–75,75–100,75–100,75–100,75–100,75–100,55–75,0–3,10–15,Yes,Yes,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,0,1,1,0,0,0,1,0,0,Banker
Medicine & Health,Medicine,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,3–6,10–15,No,No,Research thoroughly and analyze all possible solutions carefully,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Explain concepts patiently and provide resources for practice,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,1,0,1,0,0,0,1,0,0,Doctor
Core Engineering,Mechanical,55–75,55–75,75–100,75–100,75–100,55–75,55–75,75–100,35–55,0–3,3–6,No,No,Break it down into smaller steps and solve systematically using logic,I balance both function and form in my designs,Facilitate communication between team members,Encourage them and help them find their own solutions,I want to understand how things work at a deep technical level,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,1,0,0,1,0,0,0,0,0,0,Real Estate Developer
Medicine & Health,Biomed,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,3–6,10–15,No,No,Research thoroughly and analyze all possible solutions carefully,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Explain concepts patiently and provide resources for practice,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,0,1,0,1,0,1,1,1,0,1,Doctor
Business & Finance,Accounting,75–100,75–100,55–75,55–75,55–75,55–75,75–100,55–75,35–55,3–6,10–15,No,Yes,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,1,1,0,0,0,0,1,0,0,Banker
Core Engineering,Civil,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,55–75,0–3,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I balance both function and form in my designs,Facilitate communication between team members,Encourage them and help them find their own solutions,I want to understand how things work at a deep technical level,Spend time with friends and socialize,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,1,0,0,1,0,0,1,1,0,1,Construction Engineer
Data & AI,Data Analyst,55–75,75–100,55–75,55–75,55–75,55–75,75–100,75–100,55–75,3–6,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Facilitate communication between team members,Encourage them and help them find their own solutions,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,1,1,0,1,1,0,0,1,0,0,Unknown
Entrepreneurship & Management,Founder,55–75,75–100,75–100,35–55,55–75,55–75,75–100,55–75,35–55,0–3,3–6,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,0,0,0,0,0,0,1,0,0,1,Business Owner
Core Engineering,Civil,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,3–6,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Encourage them and help them find their own solutions,I want to understand how things work at a deep technical level,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,1,1,0,0,0,1,1,1,0,1,Construction Engineer
Hospitality & Tourism,Event Mgmt,75–100,55–75,55–75,55–75,75–100,75–100,75–100,75–100,35–55,3–6,10–15,No,No,Collaborate with others and gather diverse perspectives,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,0,1,0,1,0,1,1,1,0,1,Unknown
Business & Finance,Investment/Trading,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,0–3,10–15,No,Yes,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,0,1,1,0,0,0,0,0,0,Accountant
Business & Finance,Investment/Trading,75–100,75–100,55–75,55–75,75–100,75–100,75–100,55–75,55–75,0–3,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,0,0,1,0,0,0,0,0,0,Banker
Software Engineering,Backend,75–100,75–100,55–75,75–100,55–75,75–100,75–100,75–100,75–100,0–3,0–3,No,Yes,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,0,1,1,1,0,0,0,0,0,Game Developer
Education & Training,Instructional Design,75–100,55–75,75–100,75–100,75–100,75–100,75–100,75–100,55–75,0–3,10–15,No,No,Collaborate with others and gather diverse perspectives,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Explain concepts patiently and provide resources for practice,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,0,0,0,0,0,1,1,0,0,1,Teacher
Design & Media,Product/UI,75–100,75–100,75–100,75–100,55–75,75–100,75–100,75–100,55–75,0–3,10–15,No,Yes,Think creatively and explore multiple innovative approaches,I focus on visual aesthetics and creative design elements,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I focus on designing products that users will love,"Engage in creative projects like art, music, or design",Coordinate with everyone and assign tasks efficiently,Design and create the core artistic elements,1,1,0,0,1,0,0,1,1,0,1,1,Designer
Law & Public Policy,Corporate Law,75–100,55–75,55–75,75–100,75–100,75–100,75–100,75–100,55–75,3–6,10–15,No,No,Collaborate with others and gather diverse perspectives,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,1,0,1,0,0,0,1,0,0,Lawyer
Software Engineering,Backend,75–100,75–100,75–100,75–100,75–100,75–100,75–100,55–75,75–100,0–3,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,0,0,0,1,0,0,1,0,0,Software Engineer
Marketing & Communications,Brand,75–100,55–75,75–100,55–75,75–100,75–100,75–100,55–75,35–55,3–6,10–15,No,No,Think creatively and explore multiple innovative approaches,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Encourage them and help them find their own solutions,I use technology as a tool to achieve my goals,"Engage in creative projects like art, music, or design",Coordinate with everyone and assign tasks efficiently,Promote and market the project to reach more people,0,1,1,1,0,1,0,0,0,1,1,0,Writer
Entrepreneurship & Management,Strategy/Consulting,55–75,35–55,75–100,55–75,55–75,55–75,55–75,55–75,35–55,0–3,0–3,Yes,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,0,0,0,0,0,0,0,0,0,Business Owner
Business & Finance,Investment/Trading,75–100,75–100,35–55,75–100,75–100,75–100,55–75,75–100,55–75,3–6,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Facilitate communication between team members,Encourage them and help them find their own solutions,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,1,1,0,1,0,0,1,1,0,1,Accountant
Core Engineering,Mechanical,55–75,75–100,75–100,75–100,75–100,55–75,75–100,75–100,35–55,0–3,3–6,No,No,Break it down into smaller steps and solve systematically using logic,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,0,0,0,1,0,1,1,0,0,1,Real Estate Developer
Business & Finance,Investment/Trading,75–100,55–75,75–100,75–100,75–100,75–100,75–100,75–100,55–75,3–6,10–15,Yes,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,0,1,0,1,0,1,1,1,0,1,Accountant
Entrepreneurship & Management,Strategy/Consulting,55–75,75–100,55–75,55–75,55–75,55–75,75–100,55–75,35–55,0–3,3–6,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,0,0,0,1,0,1,1,0,0,1,Business Owner
Entrepreneurship & Management,Operations Mgmt,75–100,55–75,75–100,55–75,75–100,75–100,75–100,75–100,55–75,0–3,0–3,Yes,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,0,0,0,0,0,0,0,0,0,Business Owner
Business & Finance,Investment/Trading,75–100,55–75,75–100,75–100,75–100,75–100,75–100,75–100,55–75,0–3,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Share what I know if asked but let them work independently,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,0,0,1,0,0,0,0,0,0,Stock Investor
Business & Finance,Investment/Trading,75–100,75–100,75–100,75–100,55–75,75–100,75–100,55–75,55–75,0–3,10–15,No,No,Consider practical implications and make data-driven decisions,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Encourage them and help them find their own solutions,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,1,1,1,0,0,0,0,1,1,0,0,1,Banker
Software Engineering,Backend,75–100,75–100,75–100,75–100,75–100,75–100,55–75,75–100,75–100,0–3,3–6,No,No,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Facilitate communication between team members,Encourage them and help them find their own solutions,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,1,0,0,1,1,0,1,0,0,1,Game Developer
Medicine & Health,Medicine,75–100,75–100,75–100,75–100,55–75,75–100,55–75,75–100,55–75,3–6,10–15,No,No,Research thoroughly and analyze all possible solutions carefully,I balance both function and form in my designs,Coordinate the team and assign roles to ensure smooth workflow,Explain concepts patiently and provide resources for practice,I use technology as a tool to achieve my goals,Spend time with friends and socialize,Coordinate with everyone and assign tasks efficiently,Lead the team and coordinate all aspects of the project,0,1,0,1,0,0,0,0,0,1,0,0,Doctor
Software Engineering,Backend,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,75–100,3–6,10–15,No,Yes,Break it down into smaller steps and solve systematically using logic,I prioritize functionality and user experience over pure aesthetics,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Experiment with new things and understand how they work,Create a detailed checklist and manage the budget and schedule,Handle the technical or analytical aspects,1,0,0,1,1,1,1,0,1,1,0,1,Software Engineer
Core Engineering,Civil,75–100,55–75,55–75,55–75,55–75,75–100,75–100,55–75,55–75,3–6,10–15,No,No,Break it down into smaller steps and solve systematically using logic,I balance both function and form in my designs,Focus on my individual tasks and contribute my expertise,Share what I know if asked but let them work independently,I want to understand how things work at a deep technical level,Spend time with friends and socialize,Help where needed but prefer not to lead,Handle the technical or analytical aspects,0,0,0,1,0,1,0,0,0,1,0,0,Unknown
